State,Confirmed,Deaths,Recovered
Andaman and Nicobar Islands,194,0,142
Andhra Pradesh,40646,534,20298
Arunachal Pradesh,609,3,175
Assam,20646,51,14105
Bihar,23589,201,14621
Chandigarh,660,11,480
Chhattisgarh,4964,23,3512
Delhi,120107,3571,99301
Goa,3304,21,1946
Gujarat,46430,2106,32973
Haryana,24797,327,18718
Himachal Pradesh,1417,11,6558
Jammu and Kashmir,12757,231,1024
Jharkhand,4921,46,2570
Karnataka,55115,1147,20757
Kerela,11066,38,4995
Ladakh,1151,1,973
Madhya Pradesh,21081,697,14514
Maharashtra,292589,11452,160357
Manipur,1800,0,1163
Meghalaya,403,2,66
Mizoram,282,0,160
Nagaland,956,0,405
Odisha,16110,83,11330
Puducherry,1832,25,1014
Punjab,9442,239,6373
Rajasthan,27789,546,20626
Sikkim,266,0,90
Tamil Nadu,160907,2315,110807
Telangana,42496,403,28705
Tripura,2366,3,1684
Uttar Pradesh,45163,1084,27634
Uttarakhand,4102,51,3021
West Bengal,38011,1049,22253
Dadra and Nagar Haveli and Daman and Diu,585,2,401
